q,truth,lpbound,pairs,triples,lb,atoms,attrs,t_lp,t_p,t_tr,t_lb,t_t,terr
stats.128,454094.0,88163465.2813055,58650811.53694075,8394975.999999998,24818.0,5.0,6.0,0.1413648128509521,0.073319673538208,1.6409564018249512,0.0384814739227294,0.0469863414764404,
stats.129,914210.0,62320206.55385113,37886296.95367068,5775552.000000001,56294.0,5.0,6.0,0.1289312839508056,0.0762879848480224,2.3687756061553955,0.0581076145172119,0.0733401775360107,
stats.130,35205.0,2607275.645550148,847771.2009147533,186144.0,20462.0,5.0,7.0,0.1693587303161621,0.1611814498901367,2.1552822589874268,0.1293129920959472,0.0287153720855712,
stats.131,2863626.0,131781164435.2494,14266318589.999928,639838065.5743785,36282.0,5.0,6.0,0.0708107948303222,0.2072720527648925,1.534921407699585,0.146162748336792,0.2507851123809814,
stats.132,96484.0,242165149380.71417,69393199999.99997,73057347.99999997,2283.0,5.0,6.0,0.0713307857513427,0.1732513904571533,1.5249502658843994,0.1285076141357422,0.0696799755096435,
stats.133,13971410.0,2332772524676.112,1622163121312.2705,4243874310.000007,357450.0,5.0,6.0,0.0903053283691406,0.2797620296478271,2.2896525859832764,0.2622601985931396,0.1656794548034668,
stats.134,16698.0,3760582756562.45,1090899556127.9991,23743790.00000004,2337.0,5.0,6.0,0.0912773609161377,0.2560164928436279,2.156024694442749,0.2168631553649902,0.0341401100158691,
stats.135,2263957167.0,310592584818.8798,96298794095.9998,10609859160.000025,68630.0,5.0,6.0,0.0851936340332031,0.2560482025146484,2.611161470413208,0.2201776504516601,5.808568954467773,
stats.136,255355807.0,6970002070637.384,2897717044752.012,68248325219.28837,123181.0,5.0,6.0,0.1008713245391845,0.302288293838501,2.95579481124878,0.2435982227325439,1.2328100204467771,
stats.137,233930.0,36645833.91282663,12016512.000000011,4041134.999999981,35936.0,5.0,7.0,0.0908451080322265,0.0526731014251709,0.6476547718048096,0.0246326923370361,0.0305745601654052,
stats.138,15677331.0,332857151.99999964,192231456.0000004,32050655.99999996,147536.0,5.0,7.0,0.1628024578094482,0.3488247394561767,2.443676233291626,0.2059173583984375,0.2096407413482666,
stats.139,4231593.0,6219027548.737106,4021134027.572217,517026113.9999995,73986.0,6.0,8.0,0.1755328178405761,0.1654105186462402,4.812300682067871,0.0893747806549072,0.1093649864196777,
stats.140,113925678.0,109775558347.23125,75290438085.78766,6807080448.000024,499086.0,7.0,9.0,0.254662275314331,0.216515302658081,4.819728136062622,0.1516244411468505,1.3513879776000977,
stats.141,312148706.0,132106025662.73024,104522832129.3738,16385911296.00002,1558260.0,7.0,9.0,0.2980434894561767,0.2643945217132568,9.398266077041626,0.1956853866577148,1.3373684883117676,
stats.142,299574955.0,120360160836.62564,81925466982.38017,7591867392.000014,865948.0,7.0,9.0,0.284538984298706,0.2186427116394043,6.130866050720215,0.1549673080444336,1.1462197303771973,
stats.143,155696936.0,76175901155.28227,52729639890.13056,8420910911.999965,859234.0,7.0,9.0,0.2814288139343261,0.236774206161499,5.505321741104126,0.18882417678833,2.2102952003479004,
stats.144,18762969.0,7973278809.676469,7344535658.858134,1940666687.9999964,293969.0,6.0,8.0,0.1988525390625,0.1439681053161621,4.541266441345215,0.0678284168243408,0.2187707424163818,
stats.145,436286.0,58568400.87901864,41266255.56918592,4088070.000000001,36884.0,6.0,8.0,0.1651093959808349,0.1101536750793457,3.759423494338989,0.059511661529541,0.0401990413665771,
stats.146,1570429.0,92186066.4474713,59275444.39472863,8570848.000000004,69642.0,6.0,8.0,0.2029645442962646,0.1656281948089599,6.916533708572388,0.101520299911499,0.0659601688385009,
