q,atoms,attrs,lpbound,t_lp,pairs,t_p,lb,t_lb,truth,t_t,terr
jobrange.297,3,4,85303188.01435646,0.9907066822052002,9341213.602778504,0.2065286636352539,85287,0.15474843978881836,782241.0,0.11590147018432617,
jobrange.298,3,4,23529.08905078278,1.9701905250549316,105.99999999999997,0.25374531745910645,4,0.18917298316955566,4.0,0.09962773323059082,
jobrange.299,3,4,124286747.317047,1.28546142578125,38759737.99999999,0.2727541923522949,428987,0.21714401245117188,6794200.0,0.17536401748657227,
jobrange.300,3,4,28779.315881578474,1.3834960460662842,1303.0,0.3726930618286133,1136,0.4225912094116211,1136.0,0.09296107292175293,
jobrange.301,3,4,68787.47464663818,1.5746095180511475,1252.9999999999995,0.5585770606994629,1251,1.1978676319122314,1251.0,0.12037420272827148,
jobrange.302,3,4,102838.38023884747,1.7113654613494873,13082.000000000002,0.3350954055786133,2526,0.3198509216308594,2526.0,0.0893092155456543,
jobrange.303,3,4,866647.9330941126,7.820019483566284,42627.6329687568,1.1015629768371582,1514,0.7507345676422119,1514.0,0.05177187919616699,
jobrange.304,3,4,74648.32251475586,1.7693800926208496,3834.999999999998,0.48394203186035156,1438,0.4031538963317871,1438.0,0.051413774490356445,
jobrange.305,3,4,149967823.03526917,3.406111478805542,4135878.899643497,0.7171342372894287,16103,0.4385185241699219,59357.0,0.08231830596923828,
jobrange.306,3,4,146793.09299447967,2.9107353687286377,8907.999999999996,0.5662846565246582,3254,0.38687896728515625,3271.0,0.05984616279602051,
